,Driving_Pct._320_All_Drives_RANK THIS WEEK,Driving_Pct._320_All_Drives_RANK LAST WEEK,Driving_Pct._320_All_Drives_PLAYER NAME,Driving_Pct._320_All_Drives_ROUNDS,Driving_Pct._320_All_Drives_%,Driving_Pct._320_All_Drives_TOTAL DRIVES FOR 320+,Driving_Pct._320_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._320_All_Drives_RELATIVE TO PAR
0,1,1,Cameron Champ,58,34.47,233,676,-0.167
1,2,2,Bubba Watson,47,33.53,169,504,-0.136
2,3,3,Rory McIlroy,50,29.69,155,522,-0.316
3,4,4,Trey Mullinax,67,25.75,190,738,-0.105
4,5,8,Dustin Johnson,47,25.63,122,476,-0.320
5,6,5,Jason Day,45,25.0,88,352,-0.250
6,7,10,Tony Finau,61,24.22,139,574,-0.180
7,8,T6,J.B. Holmes,54,23.98,94,392,-0.181
8,9,11,Gary Woodland,63,23.84,144,604,-0.313
9,10,T6,Brooks Koepka,49,23.82,101,424,-0.228
10,11,9,Seth Reeves,52,23.71,119,502,-0.176
11,T12,T14,Phil Mickelson,41,22.38,94,420,-0.160
12,T12,T14,Grayson Murray,36,22.38,81,362,-0.198
13,14,12,Aaron Wise,52,22.2,119,536,-0.235
14,15,16,Jon Rahm,51,21.65,100,462,-0.160
15,16,13,Justin Thomas,49,20.83,100,480,-0.400
16,17,18,Luke List,52,20.43,123,602,-0.195
17,18,19,Byeong Hun An,54,20.15,110,546,-0.209
18,19,17,Kevin Tway,62,19.78,125,632,-0.248
19,20,22,Martin Trainer,51,19.71,110,558,-0.227
20,21,21,Patrick Cantlay,49,19.7,91,462,-0.297
21,22,20,Ollie Schniederjans,63,19.21,126,656,-0.365
22,23,23,Xander Schauffele,55,18.42,91,494,-0.341
23,24,24,Keith Mitchell,64,17.94,103,574,-0.262
24,25,25,Wyndham Clark,61,17.28,113,654,-0.336
25,26,26,Jhonattan Vegas,60,17.17,113,658,-0.327
26,27,27,Sam Burns,66,17.02,128,752,-0.250
27,28,28,Paul Casey,51,16.59,72,434,-0.250
28,29,29,Bryson DeChambeau,45,16.42,88,536,-0.216
29,30,30,Lucas Bjerregaard,37,16.23,50,308,-0.080
